Block_Group,FIPS_Code,Formatted_FIPS,Probability that two individuals chosen at random would be of di
"421010237002, PA",421010237002,421010237002,51.17
"421010191004, PA",421010191004,421010191004,48.11
"421010120002, PA",421010120002,421010120002,60.27
"421010361002, PA",421010361002,421010361002,21.08
"421019805001, PA",421019805001,421019805001,N/A
"421010369003, PA",421010369003,421010369003,63.7
"421010289012, PA",421010289012,421010289012,43.6
"421010266001, PA",421010266001,421010266001,0
"421010352003, PA",421010352003,421010352003,22.4
"421010347021, PA",421010347021,421010347021,59.19
"421010345023, PA",421010345023,421010345023,71.61
"421010241001, PA",421010241001,421010241001,44.95
"421010362012, PA",421010362012,421010362012,23.43
"421010114006, PA",421010114006,421010114006,25.02
"421010347023, PA",421010347023,421010347023,7.92
"421010118003, PA",421010118003,421010118003,1.91
"421010125003, PA",421010125003,421010125003,46.18
"421010352002, PA",421010352002,421010352002,11.26
"421010348012, PA",421010348012,421010348012,30.29
"421010333001, PA",421010333001,421010333001,34.62
"421010363012, PA",421010363012,421010363012,47.71
"421010348032, PA",421010348032,421010348032,43.9
"421010144002, PA",421010144002,421010144002,58.58
"421010349002, PA",421010349002,421010349002,58.26
"421010358003, PA",421010358003,421010358003,27.67
"421010002001, PA",421010002001,421010002001,59.73
"421010255002, PA",421010255002,421010255002,55.64
"421010184001, PA",421010184001,421010184001,14.98
"421010385001, PA",421010385001,421010385001,20.56
"421010254004, PA",421010254004,421010254004,29.37
"421010065006, PA",421010065006,421010065006,6.55
"421010217003, PA",421010217003,421010217003,17.5
"421010171003, PA",421010171003,421010171003,9.28
"421010376002, PA",421010376002,421010376002,60.52
"421010309003, PA",421010309003,421010309003,70.73
"421010356013, PA",421010356013,421010356013,10.16
"421010036003, PA",421010036003,421010036003,37.73
"421010208001, PA",421010208001,421010208001,65.47
"421010218002, PA",421010218002,421010218002,54.42
"421010361003, PA",421010361003,421010361003,28.07
"421010357011, PA",421010357011,421010357011,49.82
"421010063004, PA",421010063004,421010063004,27.65
"421010377001, PA",421010377001,421010377001,62.86
"421010363034, PA",421010363034,421010363034,6.89
"421010211002, PA",421010211002,421010211002,32.06
"421010257001, PA",421010257001,421010257001,57.13
"421010289021, PA",421010289021,421010289021,47.82
"421010092001, PA",421010092001,421010092001,36.33
"421010170003, PA",421010170003,421010170003,27.21
"421010212001, PA",421010212001,421010212001,43.16
"421010353021, PA",421010353021,421010353021,24.28
"421010215004, PA",421010215004,421010215004,55.75
"421010210004, PA",421010210004,421010210004,36.83
"421010282003, PA",421010282003,421010282003,39.18
"421010216001, PA",421010216001,421010216001,15.23
"421010347011, PA",421010347011,421010347011,55.73
